Record ID,ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken
1,0x4607_x,INDORES13DEL02,37,4.9,4,0,2,3,3,0,1,3,24
2,0xb379_x,BANGRES18DEL02,34,4.5,3,1,2,3,4,1,1,1,33
3,0x20f7_x,BANGRES18DEL01,37,4.4,6,0,0,0,3,2,1,1,42
4,0x7804_x,HYDRES13DEL02,28,4.9,2,2,1,2,4,1,1,3,19
5,0x7faf_x,RANCHIRES07DEL01,37,4.6,3,2,0,2,3,1,1,1,25
6,0x5218_x,BANGRES02DEL02,20,4.7,4,3,1,1,4,0,1,1,14
7,0xcafe_x,ALHRES13DEL02,32,4.8,3,2,2,0,4,1,1,4,29
8,0x8c03_x,COIMBRES09DEL01,34,5,2,3,1,0,3,1,1,3,22
9,0xceec_x,KNPRES04DEL03,37,4.6,1,3,0,0,3,1,1,1,28
10,0x38c6_x,JAPRES11DEL01,24,4.8,6,0,2,2,2,0,1,3,12
11,0x5d6d,BANGRES19DEL01,23,4.4,2,2,0,1,3,1,1,3,26
12,0xfb5,VADRES05DEL01,23,4.2,3,3,0,0,3,1,1,3,35
13,0xa4a2,COIMBRES010DEL03,34,4.8,3,2,2,2,2,1,1,1,27
14,0x81ae,PUNERES17DEL03,22,4.7,4,2,2,1,4,0,1,4,22
15,0xb52d,VADRES04DEL03,21,5,1,3,0,3,3,0,1,1,20
16,0x61d6,JAPRES08DEL03,27,4.9,1,2,1,2,3,0,1,1,29
17,0xa40f,JAPRES13DEL03,29,4.7,2,2,2,3,4,1,1,1,14
18,0xcbcc,DEHRES010DEL01,20,4.9,2,2,2,1,2,0,1,3,15
19,0x6c5c,HYDRES02DEL01,35,4.3,6,0,1,3,3,1,1,4,34
20,0x2188,MYSRES13DEL02,38,4.6,3,2,1,0,3,0,1,3,18
21,0x84eb,CHENRES16DEL03,29,4.9,1,3,2,0,3,1,1,1,14
22,0x8999,SURRES13DEL01,28,4.6,3,3,1,3,3,0,1,1,27
23,0x2c49,RANCHIRES02DEL02,32,4.5,3,3,0,0,3,0,1,1,26
24,0xd486,LUDHRES09DEL02,29,4.9,3,2,1,3,3,0,1,3,10
26,0x394e,SURRES18DEL03,39,4.6,4,1,0,2,3,1,1,3,28
27,0x1341,INDORES09DEL02,32,5,6,3,2,3,4,1,1,1,20
28,0x8bdb,HYDRES12DEL03,21,4.9,6,3,2,2,2,1,1,1,23
29,0x7a0e,HYDRES17DEL01,27,4.7,6,1,1,0,4,1,1,1,28
30,0x3175,JAPRES19DEL02,33,4.8,3,3,2,1,4,1,1,1,27
31,0xc54a,LUDHRES08DEL03,29,4.7,3,3,2,0,4,1,1,1,28
32,0x1f1d,MYSRES04DEL02,31,4.6,4,2,0,2,3,0,1,1,22
33,0x29b9,BANGRES06DEL01,35,4.6,1,2,0,2,3,1,1,3,25
34,0xcacc,AURGRES16DEL01,22,4.8,3,3,0,3,3,1,1,3,23
35,0x2681,COIMBRES04DEL02,23,4.6,6,1,1,1,3,1,1,3,23
36,0x7ebf,COIMBRES17DEL02,22,4.7,3,1,2,3,4,1,1,3,26
37,0x82e4,BANGRES09DEL01,21,4.8,2,3,2,0,3,1,1,1,23
38,0x4a7c,BANGRES010DEL03,27,4.7,2,3,2,1,2,1,1,1,21
39,0x7141,SURRES09DEL01,27,4.8,0,2,0,0,3,1,1,1,16
40,0x3b07,SURRES06DEL03,28,4.7,0,2,0,0,3,1,1,1,24
42,0x4a11,RANCHIRES07DEL02,31,4.7,2,1,0,1,3,1,1,3,46
43,0x5f12,RANCHIRES16DEL01,30,4.7,0,3,0,3,3,1,1,1,26
44,0x4f8c,SURRES16DEL03,29,4.8,2,3,2,2,4,1,1,1,28
45,0x788e,SURRES20DEL01,27,5,1,3,2,3,2,0,1,1,26
46,0xdfbc,AGRRES010DEL03,30,4.7,4,2,1,3,3,0,1,3,15
47,0x52d7,VADRES09DEL03,26,4.8,0,1,1,3,3,1,1,1,29
48,0x7e1c,MYSRES11DEL02,27,4.8,4,3,0,0,3,0,1,3,19
49,0x974a,INDORES20DEL01,26,4.7,0,1,0,2,3,1,2,1,45
50,0xa35b,JAPRES19DEL03,31,4.5,6,1,2,0,4,1,1,1,43
51,0x6317,SURRES11DEL03,20,4.9,4,2,1,2,4,0,1,3,21
52,0x3cf6,CHENRES18DEL02,26,5,3,1,2,3,4,1,1,1,23
53,0x7f33,VADRES02DEL02,38,3.9,6,1,1,0,3,1,1,1,41
54,0xb49e,VADRES12DEL01,39,4.8,4,0,1,2,3,1,1,1,15
55,0xc6a6,BHPRES08DEL03,28,4.6,2,2,2,3,4,0,3,4,11
56,0x7e00,SURRES02DEL03,34,4.8,3,1,2,3,4,1,1,3,31
57,0xaf93,CHENRES01DEL03,22,5,4,2,2,0,4,1,1,1,20
58,0xafd8,MUMRES08DEL01,25,4.8,0,2,2,2,3,1,1,1,19
59,0x3261,VADRES07DEL01,35,3.9,6,3,1,2,3,2,1,1,34
60,0x7722,MYSRES02DEL01,31,4.8,4,3,1,3,3,1,1,1,21
61,0x947d,MUMRES20DEL02,26,4.7,1,2,1,3,4,0,1,1,18
62,0x3bef,BANGRES15DEL03,33,4.6,4,3,0,3,3,0,1,1,28
63,0x1219,SURRES19DEL03,38,5,2,1,2,3,4,1,1,1,32
64,0xb965,BANGRES15DEL03,23,4.7,1,3,1,0,3,1,1,3,12
65,0x5bc6,COIMBRES16DEL01,23,4.7,2,2,1,0,4,1,1,3,12
66,0x5ffb,RANCHIRES13DEL01,36,4.9,6,3,0,0,3,2,1,3,34
67,0x5609,RANCHIRES07DEL02,36,4.9,1,2,2,2,2,1,1,1,29
68,0x8e43,RANCHIRES19DEL03,25,4.8,2,3,1,0,4,0,1,1,24
69,0x9cbc,RANCHIRES20DEL01,24,5,0,3,0,3,3,1,1,1,44
70,0xb587,HYDRES01DEL01,34,4.4,6,1,1,3,4,0,1,1,44
71,0x5167,JAPRES19DEL03,22,4.7,3,1,2,2,4,0,1,1,20
72,0xac47,RANCHIRES18DEL03,37,4.8,4,2,1,2,3,1,3,1,12
73,0xd161,LUDHRES04DEL03,21,4.9,4,3,1,3,4,1,1,1,19
74,0x8d04,MYSRES16DEL01,20,4.9,1,1,1,3,4,1,1,1,33
76,0xa57f,VADRES13DEL03,37,4.9,4,1,0,1,3,0,1,3,23
77,0xb9e5,JAPRES17DEL02,28,4.9,4,2,1,2,4,1,1,1,17
78,0x8b41,PUNERES16DEL02,38,4.7,4,2,0,2,3,1,1,1,20
79,0xbc1a,VADRES14DEL02,26,4.8,3,2,2,3,4,0,1,1,18
80,0x9156,CHENRES17DEL03,25,4.8,0,2,0,0,3,1,1,1,21
81,0x8acf,VADRES16DEL02,20,4.7,1,3,2,1,3,0,1,1,16
82,0xca1,HYDRES19DEL01,20,4.7,4,3,2,2,4,1,1,1,10
83,0xa94b,HYDRES02DEL03,25,4.7,4,3,0,3,3,1,1,1,15
84,0x45fa,HYDRES06DEL02,28,4.9,4,2,0,1,3,0,1,1,14
85,0x4147,RANCHIRES02DEL03,30,4.9,1,1,2,0,4,1,1,1,30
87,0x81c7,JAPRES16DEL03,24,4.9,1,2,0,3,3,0,1,3,23
88,0xc96,COIMBRES13DEL03,35,5,0,1,0,2,3,1,1,1,33
89,0x1e37,MUMRES13DEL02,21,4.5,1,3,0,0,3,1,1,1,36
90,0x5249,SURRES07DEL02,32,4.8,4,1,2,0,4,1,1,1,15
92,0x84fe,COIMBRES010DEL02,20,4.8,0,2,2,2,4,1,1,1,27
93,0xa4af,CHENRES19DEL01,27,4,6,0,0,1,3,1,1,1,33
94,0x26ae,PUNERES20DEL02,23,4.8,2,1,2,2,2,1,1,3,21
95,0x2b8f,MYSRES14DEL03,20,4.8,4,3,0,0,3,1,1,1,21
96,0x7a12,SURRES02DEL01,32,4,2,3,1,3,3,2,1,1,32
97,0x37da,PUNERES18DEL02,28,4.9,3,3,2,3,4,1,1,3,29
98,0x97ca,PUNERES010DEL03,25,4.2,2,1,0,2,3,1,1,1,35
99,0x2924,COIMBRES11DEL03,31,3.4,4,2,0,2,3,1,1,3,31
100,0x6ecf,RANCHIRES010DEL03,20,5,1,1,1,1,4,1,1,1,41
101,0x7a6a,COIMBRES13DEL02,38,4.7,4,3,0,0,3,1,1,1,21
102,0x628c,BANGRES15DEL02,31,4.8,2,2,1,3,4,0,1,1,24
103,0x52e2,JAPRES07DEL02,36,4.8,2,3,0,0,3,1,1,1,36
104,0xa200,SURRES07DEL01,30,4.7,6,2,0,1,3,1,1,1,24
105,0xded5,ALHRES11DEL02,32,4.9,0,3,0,2,3,3,2,3,48
106,0x2997,MUMRES20DEL02,24,4.1,0,1,2,0,2,1,1,1,39
107,0x7008,COIMBRES15DEL01,28,4.8,6,2,1,3,4,1,1,1,18
108,0xc72d,AURGRES01DEL01,26,4.6,1,0,1,0,3,0,1,1,22
109,0xc3ed,ALHRES12DEL02,23,4.7,1,1,1,0,3,1,1,1,33
110,0x88c1,SURRES04DEL03,28,4.8,3,1,1,0,4,0,1,1,19
111,0x6d6c,BANGRES15DEL02,35,4.8,0,2,2,0,3,1,1,1,18
112,0x7421,CHENRES01DEL02,30,5,6,1,2,3,3,1,1,1,25
113,0x69ed,HYDRES06DEL01,34,5,2,0,0,3,3,1,1,1,33
114,0x78c2,JAPRES010DEL03,27,4.4,0,3,1,3,4,1,1,1,32
115,0x6eaa,PUNERES05DEL03,29,4.6,6,1,1,3,3,1,1,1,20
117,0xcf84,KNPRES14DEL02,37,4.6,4,1,0,0,3,1,1,1,24
118,0xb4e6,SURRES14DEL01,36,5,1,1,2,1,3,1,1,1,44
119,0x4e85,MYSRES16DEL03,31,4.4,0,3,1,3,4,1,2,1,44
120,0x1255,VADRES05DEL01,30,4.8,3,2,0,1,3,1,1,1,20
121,0x7740,VADRES03DEL01,24,4.3,1,1,1,3,3,1,1,1,34
122,0xb1b7,INDORES03DEL03,39,4.6,0,2,2,0,4,1,1,1,16
123,0x5501,RANCHIRES14DEL03,25,4.9,2,1,0,0,3,1,1,3,25
124,0x2163,MYSRES15DEL01,37,4.3,1,0,1,1,4,0,1,3,36
125,0x725b,INDORES03DEL02,31,5,2,3,0,3,3,1,1,1,32
126,0x538f,RANCHIRES01DEL01,22,4.8,3,1,1,1,4,1,1,1,28
127,0x9a3,VADRES12DEL03,22,4.9,2,1,2,0,2,1,1,3,22
128,0xabad,BANGRES06DEL01,34,3.5,2,3,1,2,4,1,1,1,38
129,0xd326,KOLRES16DEL02,27,4.9,1,3,1,3,4,0,1,1,26
130,0xe120,KOCRES12DEL01,34,4.1,1,1,2,0,2,0,1,1,48
131,0xb900,RANCHIRES16DEL03,24,4.6,4,2,0,3,3,1,1,1,19
132,0x1874,CHENRES03DEL02,29,4.6,6,0,0,1,3,1,1,1,22
133,0xdde9,LUDHRES11DEL03,25,4.9,1,3,1,2,3,1,1,1,31
134,0x26e0,PUNERES06DEL02,36,4.4,2,1,0,0,3,1,1,3,51
135,0x6ef3,RANCHIRES14DEL01,24,4.5,0,3,2,2,3,1,1,3,30
136,0x26b0,SURRES12DEL01,33,4.7,3,2,1,2,4,1,1,4,24
137,0xcc1,HYDRES04DEL01,22,4.8,1,0,1,0,3,0,1,1,22
138,0xae17,BANGRES08DEL03,20,4.9,3,1,0,0,3,0,1,1,19
139,0x478d,JAPRES20DEL01,37,4.3,1,2,0,2,3,2,1,1,43
140,0x7b21,COIMBRES01DEL03,22,4.7,0,3,1,3,4,1,1,1,12
141,0xd554,LUDHRES06DEL02,25,4.5,3,1,1,1,4,0,1,1,19
142,0xdebb,AGRRES010DEL01,38,4.7,6,2,1,0,3,1,1,3,28
143,0xae1f,INDORES16DEL02,29,4.2,6,2,0,0,3,1,1,1,21
144,0x46fa,CHENRES16DEL02,20,4.9,1,1,2,0,3,0,1,3,21
145,0x8183,PUNERES05DEL03,21,4.7,4,1,2,1,4,0,1,1,13
146,0x3b4f,MYSRES02DEL01,27,4.7,1,2,2,1,2,1,1,1,14
147,0x9833,MYSRES09DEL01,35,4.8,6,2,0,1,3,1,1,1,28
148,0x8ea7,CHENRES09DEL03,35,4.9,4,2,1,3,3,0,1,3,18
149,0x20ef,BANGRES20DEL01,23,5,3,3,2,0,4,1,1,1,26
150,0xc88e,KOCRES010DEL01,30,4.8,4,2,1,1,3,1,1,3,28
151,0xd358,AURGRES05DEL03,28,4.6,1,1,2,2,4,1,1,3,28
152,0x7511,MYSRES15DEL01,31,4,0,1,2,0,3,1,1,1,40
153,0x8290,MYSRES20DEL01,32,4.8,2,2,0,2,3,0,1,1,20
154,0x118a,VADRES13DEL02,34,4.6,1,1,2,0,2,1,1,1,33
155,0x33e3,COIMBRES03DEL02,37,4.9,2,2,1,0,4,0,1,1,25
156,0xe037,KOLRES02DEL03,39,5,1,2,0,0,3,0,1,1,28
157,0x6926,RANCHIRES05DEL02,35,4.8,0,2,0,0,3,1,1,1,27
158,0x521c,INDORES010DEL03,33,4.7,1,3,2,3,3,0,1,1,17
159,0x67ab,SURRES01DEL01,33,4.4,2,1,0,2,3,1,2,1,43
160,0xf10,HYDRES13DEL02,32,4.9,6,2,0,2,3,1,1,1,25
161,0x5690,PUNERES15DEL02,33,4.8,0,1,1,1,4,2,1,3,44
162,0xcbb4,ALHRES17DEL03,37,4.8,0,3,0,3,3,1,1,1,32
163,0x8ff0,VADRES07DEL01,27,4.7,1,1,2,2,4,1,1,1,41
164,0x8ef2,MUMRES03DEL03,24,4.8,4,1,2,2,4,1,1,3,18
165,0x6008,BANGRES02DEL01,34,4.6,2,0,0,3,3,1,1,1,36
166,0x46f1,MYSRES20DEL02,21,4.4,6,1,0,3,3,1,1,1,38
167,0x38ff,JAPRES01DEL03,27,4.7,0,1,1,1,3,0,1,3,34
168,0x1e23,SURRES09DEL02,35,5,2,2,2,3,4,1,1,1,16
169,0x4a89,HYDRES03DEL01,35,4.4,2,1,1,0,3,1,1,1,32
170,0x90fe,MUMRES18DEL02,31,4.1,2,2,0,2,3,1,1,3,32
171,0xafb3,CHENRES13DEL02,34,4.7,2,3,2,3,2,1,1,1,30
172,0x6300,SURRES04DEL03,21,4.5,4,1,2,2,2,0,1,3,14
173,0xb017,SURRES01DEL03,29,4.7,4,2,1,1,3,1,1,1,15
174,0x90d1,VADRES14DEL01,30,4.7,0,3,1,3,4,1,1,4,15
175,0xd123,GOARES13DEL01,30,4.8,4,0,2,2,4,1,1,1,21
176,0x31ca,CHENRES08DEL02,35,4.4,2,2,0,0,3,1,1,1,26
177,0x581e,INDORES03DEL01,32,4.4,1,2,0,3,3,1,1,3,41
179,0xa24d,VADRES18DEL02,21,4.6,2,1,0,0,3,1,1,1,27
180,0x6720,MUMRES06DEL01,39,4.7,4,0,2,1,3,0,1,1,23
181,0x8641,JAPRES17DEL02,33,4.8,1,1,0,0,3,1,1,1,31
182,0x2310,CHENRES15DEL03,37,4.3,3,1,0,2,3,1,2,1,46
183,0x5dff,INDORES02DEL01,35,4.9,0,2,0,2,3,1,1,1,25
184,0x2e3e,PUNERES010DEL02,24,4.9,2,1,1,1,3,0,1,1,27
185,0xdfe,SURRES14DEL02,27,4.5,2,3,1,1,3,0,1,3,21
186,0x9399,VADRES010DEL03,35,4.6,4,2,2,0,3,1,1,1,17
188,0x1bde,MYSRES08DEL02,25,4.6,1,3,1,1,4,0,1,3,25
190,0x9f1f,PUNERES19DEL02,37,3.5,0,2,1,0,4,1,1,1,35
191,0x6cbd,JAPRES01DEL02,21,4.9,0,2,0,0,3,1,1,3,20
192,0xc51d,BHPRES19DEL01,34,4.2,1,0,2,2,2,0,1,1,37
193,0xadb0,RANCHIRES010DEL02,31,4.6,4,3,0,1,3,1,1,1,21
194,0xac90,MYSRES19DEL02,35,4.5,0,2,1,3,4,1,1,1,15
195,0x40de,RANCHIRES07DEL01,20,4.8,1,3,0,3,3,1,1,1,35
196,0x5c9c,HYDRES02DEL02,20,4.5,0,3,0,2,3,1,1,3,38
197,0x82dd,RANCHIRES18DEL01,23,4.6,6,1,0,1,3,1,1,1,34
198,0x1df6,COIMBRES05DEL02,33,4,6,1,0,2,3,1,2,1,51
199,0x306e,VADRES05DEL01,39,4.8,0,0,1,1,4,1,1,3,30
200,0x27dd,MYSRES08DEL01,36,4.9,2,1,1,1,4,0,1,1,25
201,0x9f88,MUMRES010DEL01,36,4.6,2,2,0,2,3,0,1,1,23
202,0x727a,HYDRES19DEL01,30,4.5,4,1,1,3,3,1,1,1,21
203,0xc68b,DEHRES13DEL03,23,4.9,0,1,1,0,4,0,1,1,26
204,0x62a1,PUNERES17DEL01,34,4.7,1,2,0,1,3,1,1,1,39
205,0x1fb0,VADRES06DEL02,24,4.8,1,1,0,1,3,2,1,3,47
206,0x966b,SURRES19DEL02,38,4.6,2,2,2,2,4,1,1,1,28
